TEMPLATE_ID,SUBJECT_ID,FILENAME
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
4,14,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
9,16,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
14,24,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
19,49,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
24,146,0
29,148,0
29,148,0
29,148,0
29,148,0
29,148,0
29,148,0
29,148,0
29,148,0
29,148,0
29,148,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
34,186,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
39,191,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
44,195,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
49,211,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
54,224,0
59,226,0
59,226,0
59,226,0
59,226,0
59,226,0
59,226,0
59,226,0
64,233,0
64,233,0
64,233,0
64,233,0
64,233,0
64,233,0
64,233,0
64,233,0
64,233,0
64,233,0
64,233,0
64,233,0
64,233,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
69,248,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
74,284,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
79,291,0
84,301,0
84,301,0
84,301,0
84,301,0
84,301,0
84,301,0
84,301,0
84,301,0
84,301,0
84,301,0
84,301,0
